日期,最高气温,最低气温,天气
2022-01-01,17,7,多云
2022-01-02,21,11,晴
2022-01-03,24,12,晴
2022-01-04,24,14,晴
2022-01-05,3,-7,晴
2022-01-06,20,4,多云
2022-01-07,18,12,晴
2022-01-08,21,12,晴
2022-01-09,17,11,多云
2022-01-10,13,10,多云
2022-01-11,15,8,晴
2022-01-12,15,6,多云
2022-01-13,17,10,多云
2022-01-14,13,12,多云
2022-01-15,18,13,多云
2022-01-16,22,11,多云
2022-01-17,14,11,阴
2022-01-18,16,11,晴
2022-01-19,18,11,晴
2022-01-20,19,11,多云
2022-01-21,24,14,阴
2022-01-22,19,14,阴到小雨
2022-01-23,21,16,小雨
2022-01-24,16,12,多云
2022-01-25,20,12,小雨到中雨
2022-01-26,20,14,阴
2022-01-27,24,14,多云
2022-01-28,23,15,多云
2022-01-29,14,7,小雨
2022-01-30,14,7,多云
2022-01-31,12,7,小雨
2022-02-01,10,8,小雨
2022-02-02,10,7,小雨
2022-02-03,11,7,多云
2022-02-04,13,6,多云
2022-02-05,12,9,晴
2022-02-06,16,12,多云
2022-02-07,13,7,大雨
2022-02-08,9,7,小雨
2022-02-09,11,6,阵雨
2022-02-10,13,8,阴
2022-02-11,15,12,小雨
2022-02-12,14,13,多云
2022-02-13,11,9,多云
2022-02-14,19,10,晴
2022-02-15,19,12,多云
2022-02-16,19,13,多云
2022-02-17,16,13,小雨
2022-02-18,13,7,小雨
2022-02-19,7,5,大雨
2022-02-20,6,5,小雨
2022-02-21,8,5,小雨
2022-02-22,9,6,小雨
2022-02-23,12,6,多云
2022-02-24,16,7,多云
2022-02-25,19,8,多云
2022-02-26,23,10,多云
2022-02-27,25,14,多云
2022-02-28,25,15,阴
2022-03-01,25,16,多云
2022-03-02,25,17,阴
2022-03-03,25,18,多云
2022-03-04,26,17,多云
2022-03-05,25,20,多云
2022-03-06,25,16,多云
2022-03-07,23,10,晴
2022-03-08,24,12,晴
2022-03-09,26,11,晴
2022-03-10,26,16,多云
2022-03-11,27,20,多云
2022-03-12,28,17,多云
2022-03-13,29,21,晴
2022-03-14,30,21,多云
2022-03-15,30,21,多云
2022-03-16,30,22,多云
2022-03-17,27,18,阴到小雨
2022-03-18,25,21,晴
2022-03-19,29,21,多云
2022-03-20,27,21,多云
2022-03-21,31,13,晴
2022-03-22,25,13,小雨
2022-03-23,15,10,小雨到中雨
2022-03-24,18,12,小雨到中雨
2022-03-25,22,16,多云
2022-03-26,24,16,多云
2022-03-27,21,14,多云
2022-03-28,20,13,晴
2022-03-29,21,15,多云
2022-03-30,24,17,阴
2022-03-31,27,14,多云
2022-04-01,19,13,小雨
2022-04-02,17,12,多云
2022-04-03,24,12,晴
2022-04-04,25,12,晴
2022-04-05,26,14,晴
2022-04-06,28,19,多云
2022-04-07,29,20,晴
2022-04-08,30,16,晴
2022-04-09,30,17,晴
2022-04-10,30,20,晴
2022-04-11,30,20,晴
2022-04-12,31,22,晴
2022-04-13,29,19,多云
2022-04-14,28,18,晴
2022-04-15,28,18,阴
2022-04-16,20,15,多云
2022-04-17,21,16,多云
2022-04-18,17,14,小雨
2022-04-19,17,16,小雨
2022-04-20,22,15,阴
2022-04-21,28,21,阴
2022-04-22,28,22,小雨到大雨
2022-04-23,28,20,中雨
2022-04-24,30,22,多云
2022-04-25,30,24,多云
2022-04-26,31,26,多云
2022-04-27,33,25,多云
2022-04-28,32,25,晴
2022-04-29,29,23,多云
2022-04-30,28,17,大雨
